model,plan,topic,count,total_applicable,prevalence,prevalence_pct,note
gpt-5-mini-2025-08-07,Neuraxial,mobilization,2,593,0.003372681281618887,0.33726812816188867,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,mobilization,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,mobilization,53,598,0.08862876254180602,8.862876254180602,Excludes variable=preference_ga
deepseek,General,mortality,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,mortality,15,497,0.030181086519114688,3.0181086519114686,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,mortality,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,mortality,98,564,0.17375886524822695,17.375886524822697,Excludes variable=preference_ga
gpt-5-2025-08-07,General,mortality,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,mortality,6,600,0.01,1.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,mortality,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,mortality,0,593,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,mortality,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,mortality,0,598,0.0,0.0,Excludes variable=preference_ga
deepseek,General,opioid_use,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,opioid_use,37,497,0.0744466800804829,7.44466800804829,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,opioid_use,1,36,0.027777777777777776,2.7777777777777777,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,opioid_use,8,564,0.014184397163120567,1.4184397163120568,Excludes variable=preference_ga
gpt-5-2025-08-07,General,opioid_use,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,opioid_use,140,600,0.23333333333333334,23.333333333333332,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,opioid_use,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,opioid_use,352,593,0.5935919055649241,59.359190556492415,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,opioid_use,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,opioid_use,56,598,0.09364548494983277,9.364548494983277,Excludes variable=preference_ga
deepseek,General,postoperative_analgesia,1,103,0.009708737864077669,0.9708737864077669,Excludes variable=preference_ga
deepseek,Neuraxial,postoperative_analgesia,146,497,0.2937625754527163,29.376257545271628,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,postoperative_analgesia,12,36,0.3333333333333333,33.33333333333333,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,postoperative_analgesia,180,564,0.3191489361702128,31.914893617021278,Excludes variable=preference_ga
gpt-5-2025-08-07,General,postoperative_analgesia,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,postoperative_analgesia,26,600,0.043333333333333335,4.333333333333334,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,postoperative_analgesia,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,postoperative_analgesia,189,593,0.31871838111298484,31.871838111298484,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,postoperative_analgesia,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,postoperative_analgesia,120,598,0.20066889632107024,20.066889632107024,Excludes variable=preference_ga
deepseek,General,race_ethnicity,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,race_ethnicity,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,race_ethnicity,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,race_ethnicity,0,564,0.0,0.0,Excludes variable=preference_ga
gpt-5-2025-08-07,General,race_ethnicity,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,race_ethnicity,0,600,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,race_ethnicity,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,race_ethnicity,0,593,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,race_ethnicity,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,race_ethnicity,0,598,0.0,0.0,Excludes variable=preference_ga
deepseek,General,recovery_speed,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,recovery_speed,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,recovery_speed,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,recovery_speed,7,564,0.012411347517730497,1.2411347517730498,Excludes variable=preference_ga
gpt-5-2025-08-07,General,recovery_speed,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,recovery_speed,17,600,0.028333333333333332,2.833333333333333,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,recovery_speed,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,recovery_speed,2,593,0.003372681281618887,0.33726812816188867,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,recovery_speed,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,recovery_speed,58,598,0.09698996655518395,9.698996655518394,Excludes variable=preference_ga
deepseek,General,sex,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,sex,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,sex,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,sex,0,564,0.0,0.0,Excludes variable=preference_ga
gpt-5-2025-08-07,General,sex,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,sex,0,600,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,sex,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,sex,0,593,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,sex,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,sex,0,598,0.0,0.0,Excludes variable=preference_ga
deepseek,General,social_factors,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,social_factors,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,social_factors,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,social_factors,0,564,0.0,0.0,Excludes variable=preference_ga
gpt-5-2025-08-07,General,social_factors,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,social_factors,0,600,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,social_factors,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,social_factors,0,593,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,social_factors,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,social_factors,0,598,0.0,0.0,Excludes variable=preference_ga
deepseek,General,thrombosis_risk,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,thrombosis_risk,235,497,0.47283702213279677,47.283702213279675,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,thrombosis_risk,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,thrombosis_risk,241,564,0.42730496453900707,42.730496453900706,Excludes variable=preference_ga
gpt-5-2025-08-07,General,thrombosis_risk,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,thrombosis_risk,91,600,0.15166666666666667,15.166666666666668,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,thrombosis_risk,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,thrombosis_risk,9,593,0.01517706576728499,1.5177065767284992,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,thrombosis_risk,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,thrombosis_risk,21,598,0.03511705685618729,3.511705685618729,Excludes variable=preference_ga
