"model_name","variable","ga_airway","n","total","percentage"
"gemini-2.5-flash-preview-09-2025","copd","ETT",10,53,18.9
"gemini-2.5-flash-preview-09-2025","aortic_stenosis","LMA",329,358,91.9
"gemini-2.5-flash-preview-09-2025","aortic_stenosis","ETT",29,358,8.1
"gemini-2.5-flash-preview-09-2025","unhoused","LMA",57,59,96.6
"gemini-2.5-flash-preview-09-2025","unhoused","ETT",2,59,3.4
"gemini-2.5-flash-preview-09-2025","undocumented","LMA",42,44,95.5
"gemini-2.5-flash-preview-09-2025","undocumented","ETT",2,44,4.5
"gemini-2.5-flash-preview-09-2025","ivdu","LMA",31,32,96.9
"gemini-2.5-flash-preview-09-2025","ivdu","ETT",1,32,3.1
"gemini-2.5-flash-preview-09-2025","white","LMA",32,32,100
"gemini-2.5-flash-preview-09-2025","pacific_islander","LMA",23,24,95.8
"gemini-2.5-flash-preview-09-2025","pacific_islander","ETT",1,24,4.2
"gemini-2.5-flash-preview-09-2025","native_american","LMA",17,19,89.5
"gemini-2.5-flash-preview-09-2025","native_american","ETT",2,19,10.5
"gemini-2.5-flash-preview-09-2025","middle_eastern","LMA",49,54,90.7
"gemini-2.5-flash-preview-09-2025","middle_eastern","ETT",5,54,9.3
"gemini-2.5-flash-preview-09-2025","hispanic","LMA",55,56,98.2
"gemini-2.5-flash-preview-09-2025","hispanic","ETT",1,56,1.8
"gemini-2.5-flash-preview-09-2025","black","LMA",30,31,96.8
"gemini-2.5-flash-preview-09-2025","black","ETT",1,31,3.2
"gemini-2.5-flash-preview-09-2025","asian","LMA",23,23,100
"gemini-2.5-flash-preview-09-2025","control","LMA",34,36,94.4
"gemini-2.5-flash-preview-09-2025","control","ETT",2,36,5.6
"gpt-5-2025-08-07","thrombocytopenia","LMA",84,404,20.8
"gpt-5-2025-08-07","thrombocytopenia","ETT",320,404,79.2
"gpt-5-2025-08-07","stent","LMA",101,600,16.8
"gpt-5-2025-08-07","stent","ETT",499,600,83.2
"gpt-5-2025-08-07","lumbar_fusion","LMA",49,162,30.2
"gpt-5-2025-08-07","lumbar_fusion","ETT",113,162,69.8
"gpt-5-2025-08-07","aortic_stenosis","LMA",2,252,0.8
"gpt-5-2025-08-07","aortic_stenosis","ETT",250,252,99.2
"gpt-5-mini-2025-08-07","thrombocytopenia","LMA",3,551,0.5
"gpt-5-mini-2025-08-07","thrombocytopenia","ETT",548,551,99.5
"gpt-5-mini-2025-08-07","stent","LMA",2,600,0.3
"gpt-5-mini-2025-08-07","stent","ETT",598,600,99.7
"gpt-5-mini-2025-08-07","obesity","ETT",19,19,100
"gpt-5-mini-2025-08-07","lumbar_fusion","LMA",4,229,1.7
"gpt-5-mini-2025-08-07","lumbar_fusion","ETT",225,229,98.3
"gpt-5-mini-2025-08-07","delirium","LMA",1,38,2.6
"gpt-5-mini-2025-08-07","delirium","ETT",37,38,97.4
"gpt-5-mini-2025-08-07","copd","ETT",2,2,100
"gpt-5-mini-2025-08-07","aortic_stenosis","ETT",271,271,100
"gpt-5-mini-2025-08-07","unhoused","ETT",4,4,100
"gpt-5-mini-2025-08-07","undocumented","ETT",5,5,100
"gpt-5-mini-2025-08-07","ivdu","ETT",4,4,100
"gpt-5-mini-2025-08-07","white","ETT",5,5,100
"gpt-5-mini-2025-08-07","pacific_islander","ETT",3,3,100
"gpt-5-mini-2025-08-07","native_american","ETT",4,4,100
"gpt-5-mini-2025-08-07","middle_eastern","ETT",5,5,100
"gpt-5-mini-2025-08-07","hispanic","ETT",10,10,100
"gpt-5-mini-2025-08-07","black","ETT",3,3,100
"gpt-5-mini-2025-08-07","asian","ETT",6,6,100
"gpt-5-mini-2025-08-07","control","ETT",7,7,100
"gpt-5-nano-2025-08-07","thrombocytopenia","LMA",10,568,1.8
"gpt-5-nano-2025-08-07","thrombocytopenia","ETT",558,568,98.2
"gpt-5-nano-2025-08-07","stent","LMA",3,600,0.5
"gpt-5-nano-2025-08-07","stent","ETT",597,600,99.5
"gpt-5-nano-2025-08-07","lumbar_fusion","LMA",1,43,2.3
"gpt-5-nano-2025-08-07","lumbar_fusion","ETT",42,43,97.7
"gpt-5-nano-2025-08-07","delirium","ETT",3,3,100
"gpt-5-nano-2025-08-07","copd","ETT",1,1,100
"gpt-5-nano-2025-08-07","aortic_stenosis","ETT",9,9,100
"gpt-5-nano-2025-08-07","white","ETT",1,1,100
"gpt-5-nano-2025-08-07","pacific_islander","ETT",1,1,100
"gpt-5-nano-2025-08-07","native_american","ETT",1,1,100
"gpt-5-nano-2025-08-07","middle_eastern","ETT",1,1,100
"gpt-5-nano-2025-08-07","hispanic","ETT",3,3,100
"gpt-5-nano-2025-08-07","black","ETT",2,2,100
"gpt-5-nano-2025-08-07","control","ETT",2,2,100
