"model_name","surgery_id","nerve_block_type","n","total","percentage"
"gpt-5-2025-08-07","percutaneous_screws","suprainguinal_FICB",292,1799,16.2
"gpt-5-2025-08-07","percutaneous_screws","infrainguinal_FICB",33,1799,1.8
"gpt-5-2025-08-07","percutaneous_screws","femoral",6,1799,0.3
"gpt-5-mini-2025-08-07","total_hip","PENG",412,1569,26.3
"gpt-5-mini-2025-08-07","total_hip","suprainguinal_FICB",1153,1569,73.5
"gpt-5-mini-2025-08-07","total_hip","infrainguinal_FICB",4,1569,0.3
"gpt-5-mini-2025-08-07","hemiarthroplasty","PENG",349,1703,20.5
"gpt-5-mini-2025-08-07","hemiarthroplasty","suprainguinal_FICB",1348,1703,79.2
"gpt-5-mini-2025-08-07","hemiarthroplasty","infrainguinal_FICB",6,1703,0.4
"gpt-5-mini-2025-08-07","long_cephalomedullary","PENG",212,1655,12.8
"gpt-5-mini-2025-08-07","long_cephalomedullary","suprainguinal_FICB",1437,1655,86.8
"gpt-5-mini-2025-08-07","long_cephalomedullary","infrainguinal_FICB",6,1655,0.4
"gpt-5-mini-2025-08-07","short_cephalomedullary","PENG",484,1727,28
"gpt-5-mini-2025-08-07","short_cephalomedullary","suprainguinal_FICB",1234,1727,71.5
"gpt-5-mini-2025-08-07","short_cephalomedullary","infrainguinal_FICB",9,1727,0.5
"gpt-5-mini-2025-08-07","sliding_hip_screw","PENG",174,1714,10.2
"gpt-5-mini-2025-08-07","sliding_hip_screw","suprainguinal_FICB",1532,1714,89.4
"gpt-5-mini-2025-08-07","sliding_hip_screw","infrainguinal_FICB",8,1714,0.5
"gpt-5-mini-2025-08-07","percutaneous_screws","PENG",1369,1638,83.6
"gpt-5-mini-2025-08-07","percutaneous_screws","suprainguinal_FICB",261,1638,15.9
"gpt-5-mini-2025-08-07","percutaneous_screws","infrainguinal_FICB",8,1638,0.5
"gpt-5-nano-2025-08-07","total_hip","PENG",5,10,50
"gpt-5-nano-2025-08-07","total_hip","suprainguinal_FICB",5,10,50
"gpt-5-nano-2025-08-07","hemiarthroplasty","PENG",5,11,45.5
"gpt-5-nano-2025-08-07","hemiarthroplasty","suprainguinal_FICB",4,11,36.4
"gpt-5-nano-2025-08-07","hemiarthroplasty","infrainguinal_FICB",1,11,9.1
"gpt-5-nano-2025-08-07","hemiarthroplasty","femoral",1,11,9.1
"gpt-5-nano-2025-08-07","long_cephalomedullary","PENG",2,8,25
"gpt-5-nano-2025-08-07","long_cephalomedullary","suprainguinal_FICB",5,8,62.5
"gpt-5-nano-2025-08-07","long_cephalomedullary","infrainguinal_FICB",1,8,12.5
"gpt-5-nano-2025-08-07","short_cephalomedullary","suprainguinal_FICB",3,3,100
"gpt-5-nano-2025-08-07","sliding_hip_screw","PENG",1,8,12.5
"gpt-5-nano-2025-08-07","sliding_hip_screw","suprainguinal_FICB",6,8,75
"gpt-5-nano-2025-08-07","sliding_hip_screw","infrainguinal_FICB",1,8,12.5
"gpt-5-nano-2025-08-07","percutaneous_screws","PENG",2,4,50
"gpt-5-nano-2025-08-07","percutaneous_screws","suprainguinal_FICB",2,4,50
